id,generation,evaluation_score,this_image_name,init_image_name,image_strengs,seed,steps,prompt_length,cfg_scale,prompt
1,1,100,generated_image_49.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.16,9949,88,14,9.8,"['park', 'happy', 'relaxing', 'play', 'forest', 'lush', 'environment', 'smiles', 'toys', 'grass', 'greenery', 'nature', 'outdoor', 'kids']"
2,1,100,generated_image_50.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.13,1043,82,11,11.2,"['scenery', 'greenery', 'playground', 'safe', 'environment', 'activities', 'relaxing', 'equipment', 'happy', 'play', 'trees']"
3,1,100,generated_image_51.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.16,6373,100,10,6.6,"['adventure', 'toys', 'slide', 'play', 'scenery', 'park', 'safe', 'activities', 'environment', 'children']"
4,1,100,generated_image_52.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,4518,92,14,7.9,"['enjoy', 'fun', 'environment', 'nature', 'happy', 'greenery', 'smiles', 'play', 'bright', 'lush', 'swing', 'scenery', 'equipment', 'outdoor']"
5,1,0,generated_image_53.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.2,130,95,11,6.1,"['outdoor', 'play', 'grass', 'park', 'climbing', 'happy', 'activities', 'adventure', 'scenery', 'swing', 'playground']"
6,1,0,generated_image_54.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.26,5967,84,13,11.9,"['nature', 'scenery', 'playground', 'park', 'relaxing', 'trees', 'fun', 'climbing', 'greenery', 'lush', 'equipment', 'family', 'bright']"
7,1,0,generated_image_55.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.3,2976,79,15,9.0,"['playground', 'fun', 'play', 'grass', 'bright', 'adventure', 'safe', 'peaceful', 'swing', 'happy', 'slide', 'forest', 'lush', 'children', 'kids']"
8,1,0,generated_image_56.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.2,8434,82,10,10.8,"['slide', 'climbing', 'play', 'children', 'safe', 'scenery', 'kids', 'enjoy', 'relaxing', 'smiles']"
9,2,100,generated_image_57.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.16,9949,88,14,9.8,"['park', 'happy', 'relaxing', 'play', 'forest', 'lush', 'environment', 'smiles', 'toys', 'grass', 'greenery', 'nature', 'outdoor', 'kids']"
10,2,100,generated_image_58.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.13,1043,82,11,11.2,"['scenery', 'greenery', 'playground', 'safe', 'environment', 'activities', 'relaxing', 'equipment', 'happy', 'play', 'trees']"
