id,generation,evaluation_score,this_image_name,init_image_name,image_strengs,seed,steps,prompt_length,cfg_scale,prompt
1,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_113.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.24,3313,80,10,9.5,"['trees', 'butterflies', 'swings', 'peaceful', 'wooden structures', 'safe environment', 'slides', 'creek', 'exploration', 'fun']"
2,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_114.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.16,9926,66,12,7.5,"['exploration', 'joyful atmosphere', 'wooden structures', 'peaceful', 'adventure', 'lush', 'blue sky', 'butterflies', 'kids playing', 'flowers', ""children's playground"", 'slides']"
3,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_115.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.25,8045,64,15,6.2,"['butterflies', 'nature', 'slides', 'open spaces', 'joyful atmosphere', ""children's playground"", 'creek', 'tranquility', 'adventure', 'family friendly', 'park', 'scenic', 'lush', 'wooden structures', 'picnic area']"
4,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_116.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.19,7397,67,15,7.6,"['picnic area', 'adventure', 'nature', 'walking paths', 'flowers', 'trees', 'tranquility', 'swings', 'park', 'kids playing', 'scenic', 'lush', 'slides', 'safe environment', 'wooden structures']"
5,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_117.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.36,8224,60,15,6.9,"['lush', 'greenery', 'scenic', 'creek', 'wildlife', 'slides', 'picnic area', 'adventure', ""children's playground"", 'kids playing', 'walking paths', 'sunshine', 'tranquility', 'wooden structures', 'safe environment']"
6,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_118.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.28,8445,86,15,6.8,"['wooden structures', 'fun', 'butterflies', 'creek', 'greenery', 'tranquility', 'park', 'walking paths', 'slides', 'picnic area', 'swings', 'nature', 'exploration', 'peaceful', 'wildlife']"
7,1,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_119.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.33,3082,62,13,7.2,"['safe environment', 'open spaces', 'butterflies', 'tranquility', 'picnic area', 'lush', 'exploration', 'greenery', 'park', 'adventure', 'benches', 'kids playing', 'blue sky']"
8,1,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_120.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.37,4477,91,10,11.7,"['kids playing', 'exploration', 'peaceful', 'colorful', 'scenic', 'lush', 'picnic area', 'open spaces', 'trees', 'blue sky']"
9,2,0,generated_image_121.jpg,,0.36,8224,86,15,6.8,"['greenery', 'creek', 'wooden structures', 'slides', 'picnic area', 'lush', 'fun', 'tranquility', 'walking paths', 'butterflies', 'scenic', 'wildlife', 'park', 'adventure', ""children's playground""]"
10,2,0,generated_image_122.jpg,,0.37,3313,60,10,9.5,"['creek', 'trees', 'slides', 'butterflies', 'swings', 'peaceful', 'lush', 'greenery', 'wooden structures', 'scenic']"
11,2,0,generated_image_123.jpg,,0.28,7397,86,15,7.6,"['picnic area', 'walking paths', 'tranquility', 'nature', 'wooden structures', 'park', 'fun', 'adventure', 'swings', 'butterflies', 'creek', 'greenery', 'flowers', 'slides', 'trees']"
12,2,0,generated_image_124.jpg,,0.33,3082,62,13,7.2,"['serene', 'outdoor', 'butterfly', 'nature', 'relaxation', 'meadow', 'ornamental', 'trees', 'family', 'gathering', 'happiness', 'joyful', 'scenery']"
13,2,0,generated_image_125.jpg,,0.24,3313,80,10,9.5,"['trees', 'butterflies', 'swings', 'peaceful', 'wooden structures', 'safe environment', 'slides', 'creek', 'exploration', 'fun']"
14,2,0,generated_image_126.jpg,,0.28,8445,86,15,6.9,"['greenery', 'creek', 'slides', 'wooden structures', 'picnic area', 'lush', 'fun', 'walking paths', 'tranquility', 'scenic', 'butterflies', 'wildlife', 'park', 'adventure', ""children's playground""]"
15,2,0,generated_image_127.jpg,,0.33,8445,86,13,7.2,"['colorful', 'insects', 'calm', 'scenery', 'recreation', 'zone', 'secure', 'location', 'nature', 'setting', 'timber', 'buildings', 'discovery']"
16,2,0,generated_image_128.jpg,,0.24,3082,80,10,9.5,"['butterflies', 'safe environment', 'trees', 'swings', 'peaceful', 'exploration', 'wooden structures', 'open spaces', 'slides', 'tranquility']"
